,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
477,24,3811,0,21,1908,3695,3,44,1,1,G
478,24,3000,1,46,13,2854,4,26,1,1,G
481,36,3710,4,27,9,3557,7,60,0,1,G
482,60,4611,0,23,4409,6181,10,52,0,1,G
484,36,2809,0,0,0,0,1,43,0,1,G
485,48,2500,0,22,98,926,9,9,0,0,B
486,36,3105,0,15,21763,6723,1,58,0,1,G
487,24,3404,0,9,37,3142,22,43,0,0,G
489,48,3706,0,13,1972,2608,9,30,0,0,G
499,12,6105,0,5,263,400,18,48,1,1,G
500,48,3210,0,21,396,1898,12,25,0,1,G
501,60,5306,4,49,1205,6701,7,81,1,1,G
502,60,5905,4,1,19660,500,11,0,1,0,B
503,24,3402,2,35,952,3212,2,37,0,0,G
504,18,3200,1,33,2548,3702,6,36,0,0,G
505,12,4102,1,51,70,4594,2,38,0,0,G
506,18,4206,0,17,135,632,10,8,0,0,G
507,12,5100,0,29,1687,4735,7,10,0,1,G
508,12,5504,1,51,1771,7189,1,10,0,0,G
509,24,4610,0,21,115,2561,17,11,0,1,G
510,60,3504,2,43,2307,7676,12,40,0,0,G
512,36,5002,0,20,204,1743,15,39,1,1,G
513,60,4406,0,15,4524,4766,16,50,1,1,G
518,24,3110,0,36,321,2403,4,32,0,1,G
520,36,6806,0,10,484,1308,10,21,1,1,G
524,60,3901,1,11,17187,21071,15,72,1,1,G
530,18,3204,6,75,1217,5524,11,43,0,1,G
531,12,3004,6,46,822,2875,2,45,0,0,B
535,84,3904,0,57,3398,4533,9,53,1,1,G
540,12,2803,5,29,342,3326,10,34,0,0,G
543,24,3810,0,23,1009,2220,4,32,0,1,G
544,24,4401,0,46,632,3876,19,37,0,1,G
547,24,4401,0,46,551,3827,19,37,0,1,G
548,60,3704,1,48,1585,6087,10,84,1,1,G
549,21,2502,0,47,766,2136,9,25,0,0,G
550,12,2701,0,12,3076,2332,6,32,0,1,G
554,12,2509,0,14,525,2600,9,34,0,1,G
556,60,3506,1,25,394,2299,1,29,0,1,G
557,24,4010,4,37,16683,16471,10,60,0,1,G
558,84,4011,4,37,15283,19032,10,60,0,1,G
559,72,4408,5,32,11138,7484,10,26,0,0,G
560,60,5401,0,70,16918,4828,10,45,0,1,G
562,30,2506,0,2,1656,366,10,12,0,1,G
564,21,4308,0,36,344,3185,10,31,0,0,G
566,36,2806,5,30,2021,3147,10,30,0,1,G
567,48,6305,0,9,8534,1865,10,24,0,1,G
568,18,3301,1,29,845,2975,15,40,0,1,G
569,48,4004,0,51,1238,5164,10,50,0,1,G
570,60,3601,6,22,201,1875,10,0,0,0,B
571,60,3207,1,18,491,2449,9,36,0,0,G
573,36,4004,0,14,2503,1332,18,46,0,1,G
578,36,3209,2,19,443,3324,14,48,0,1,G
579,60,4107,0,6,950,1275,32,26,0,1,G
580,24,3401,0,0,0,0,5,22,0,1,G
581,18,3907,0,29,10263,14556,13,154,0,0,G
584,36,4809,0,21,279,2005,14,20,0,0,B
585,60,4605,6,67,5670,7397,4,50,0,0,G
587,36,5105,0,84,189,4738,10,65,0,1,G
588,60,3108,0,21,2965,4280,6,31,0,1,G
593,60,3710,5,45,1271,4163,16,52,0,1,G
594,21,2204,2,36,213,1672,9,15,0,1,G
595,60,3505,1,22,508,2599,4,56,0,1,G
596,36,2210,0,28,960,1970,3,27,0,1,G
598,60,3804,0,0,0,0,9,53,1,1,G
599,24,5306,0,35,1318,4596,10,28,0,0,G
600,12,3204,0,26,326,2144,7,30,0,1,G
601,60,5310,0,32,50624,5356,10,75,0,1,G
605,24,4401,0,36,1002,2881,7,36,0,1,G
607,24,4609,0,29,804,7245,14,70,1,1,G
608,30,2705,2,22,1738,1090,17,10,0,0,B
609,60,3802,0,54,1536,6344,1,73,0,1,G
610,24,2302,0,23,231,1999,5,28,0,1,G
611,36,4309,0,45,548,5457,10,84,1,0,G
612,24,6905,0,54,9015,12120,10,16,0,1,G
614,24,4911,0,12,426,3897,10,37,1,1,G
617,36,5005,3,60,46,7219,10,59,1,1,G
618,18,2705,5,43,127,3406,14,42,0,0,G
619,24,3407,6,36,683,3076,16,32,0,0,G
621,48,3311,0,26,762,2927,4,52,0,1,G
623,60,3007,1,7,1024,1541,3,86,1,1,G
627,60,4611,5,48,4416,4650,10,78,0,1,G
628,60,3805,4,10,587,766,3,11,0,0,B
629,60,4800,0,0,0,0,3,39,0,1,G
630,60,3705,6,46,1776,3437,8,65,1,0,B
631,48,3200,0,25,3129,3055,6,35,0,1,G
633,36,3108,2,42,543,3659,15,35,0,1,G
634,60,3200,0,25,876,4040,10,92,0,1,G
635,72,5804,0,0,0,0,24,86,0,1,G
636,48,2800,0,27,845,3915,16,33,0,1,G
637,48,4800,0,39,2239,3328,10,57,0,1,G
639,48,5100,0,30,1208,5486,4,64,1,1,G
640,24,3903,0,25,667,2145,5,23,0,0,G
641,60,3205,0,26,987,3220,1,38,0,1,G
644,60,3010,0,19,300,2991,7,30,0,1,G
645,60,4707,4,8,70,530,15,30,0,1,G
648,60,4409,6,21,1,1445,5,36,0,0,B
649,36,3307,0,24,3915,2445,14,32,0,1,G
653,12,2409,0,8,8731,279,11,15,0,1,G
654,12,2506,1,42,257,3981,18,41,0,1,G
656,15,3105,0,20,1365,5157,3,38,0,0,G
657,12,5308,4,77,807,4610,2,0,0,0,G
659,120,5510,0,8,1885,783,10,10,0,1,G
660,12,4708,0,12,2187,975,10,44,0,1,G
661,60,5408,6,45,1552,4623,10,75,1,1,G
664,36,4111,6,31,8516,6882,14,37,0,0,B
665,24,3008,1,40,227,3463,14,44,0,1,G
666,24,3101,0,26,1740,3668,14,44,0,1,G
667,24,6008,5,20,3457,3458,10,55,0,0,G
670,24,6008,5,20,3457,3458,10,55,0,0,B
671,120,5611,0,11,4242,6465,10,98,1,1,G
