,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
5863,36,3205,5,1,2025,0,3,34,1,0,G
5866,48,4907,2,19,8413,4873,10,27,0,1,G
5867,60,3600,0,56,1580,3615,8,41,0,1,G
5869,36,5801,0,1,3582,2010,22,26,0,1,G
5870,36,4705,1,8,4233,115,10,38,1,0,G
5871,36,3411,0,24,1455,3060,10,42,0,1,G
5873,60,3407,1,19,2092,2748,12,39,0,1,G
5874,12,3901,6,36,113,3508,7,33,1,0,G
5875,60,3101,1,51,2877,8327,3,57,1,0,G
5876,30,4406,5,33,149,2668,12,39,0,0,B
5877,12,3803,0,9,75,302,14,21,0,1,G
5878,12,3700,0,21,2803,3892,10,46,0,1,G
5879,60,4400,0,2,11762,13506,6,39,1,0,G
5882,12,3109,3,35,10041,10665,11,26,0,1,G
5889,6,3211,3,10,763,883,9,48,1,0,G
5890,84,3609,5,28,2827,2624,8,35,1,0,G
5891,24,3011,0,0,0,0,0,20,1,1,G
5892,60,3609,0,31,1563,2730,8,38,0,1,G
5895,36,2201,3,7,2673,284,2,16,0,0,G
5901,30,2708,0,34,290,1571,4,20,0,1,G
5903,60,5708,0,1,28079,14042,9,16,1,0,G
5905,60,2907,5,24,361,2198,2,57,1,1,G
5906,60,3602,0,58,1754,4554,12,41,1,1,G
5907,60,4004,1,18,509,1677,15,20,0,1,G
5913,24,2405,0,20,817,2600,6,41,0,1,G
5914,18,3911,5,39,634,2828,3,39,0,0,G
5915,60,2601,0,19,2970,3650,2,42,0,1,G
5919,12,6101,0,21,1752,4575,19,25,0,1,G
5920,12,4107,5,83,0,5399,17,49,0,0,G
5921,60,2907,5,26,1414,2370,5,25,0,0,B
5924,96,2410,0,0,2,0,1,10,0,0,G
5925,60,3411,6,25,290,2507,6,45,1,0,B
5926,60,4911,0,7,1234,1449,20,0,0,0,G
5927,18,3908,1,25,557,3217,10,32,0,1,G
5929,48,3002,0,44,177,2125,11,16,0,0,G
5930,60,3711,1,37,847,6780,7,53,0,1,G
5934,48,2103,0,56,327,1986,8,24,0,1,G
5937,12,4907,0,50,2405,3389,13,43,1,1,G
5938,30,3307,0,17,2128,1981,4,31,0,1,G
5939,12,4611,2,44,1698,5557,15,64,0,1,G
5941,60,4501,6,38,620,2957,7,16,1,0,G
5945,36,3300,0,26,301,3031,7,40,0,1,G
5946,48,3804,0,21,12,2543,3,35,0,1,G
5947,36,6106,4,28,441,3799,13,53,1,1,G
5952,24,3603,0,41,23,2941,6,32,0,1,G
5956,12,5506,0,0,0,0,15,37,0,1,G
5960,24,2410,0,0,0,0,0,40,1,1,G
5961,48,5601,0,31,1804,2490,3,33,0,1,G
5962,60,4503,0,39,2114,4839,7,34,0,1,G
5963,24,5509,0,33,1666,9236,14,76,0,1,G
5964,24,4906,0,41,955,4632,10,72,1,1,G
5965,60,4500,4,70,2939,8531,14,128,1,0,G
5966,30,5011,0,12,1179,2587,9,37,0,1,B
5967,60,6009,2,24,1723,1781,17,20,0,0,G
5969,36,4503,1,5,16,26,4,27,0,1,G
5971,24,2704,2,24,359,3383,4,38,0,1,G
5972,72,5305,1,50,6202,6665,14,80,0,0,G
5975,60,5307,4,37,3538,2956,10,87,0,1,G
5977,36,3309,0,7,18119,3132,11,24,0,1,G
5978,60,4500,3,9,640,468,5,24,0,0,B
5980,60,4201,0,25,627,3115,16,45,0,1,G
5991,24,4009,1,19,551,2778,13,42,0,1,B
5995,12,2510,2,27,412,2705,7,34,0,1,G
5996,18,2905,0,0,0,0,5,59,1,1,G
5998,12,3506,1,27,2017,3427,3,35,0,1,G
6003,12,4501,0,44,3999,5861,15,40,0,1,G
6007,60,3009,4,24,291,2443,9,18,0,0,G
6008,48,2901,1,18,388,3375,9,75,1,1,G
6010,12,3906,6,29,80,2491,17,10,0,0,G
6012,12,4304,1,45,255,3469,22,46,0,1,G
6019,12,3905,0,45,1019,4820,4,32,0,1,G
6022,48,3805,0,25,1381,4694,16,49,0,1,G
6023,33,4109,1,22,491,3570,10,45,0,0,G
6025,84,3411,1,3,46,442,1,9,0,0,B
6027,12,4802,1,16,692,4142,8,72,0,1,G
6028,12,3405,0,30,686,6955,14,30,0,1,G
6029,48,4804,0,53,2025,3481,10,44,0,1,G
6030,60,3705,4,70,259,5037,10,68,0,0,G
6031,60,5008,0,106,2494,9310,10,95,0,1,G
6037,15,5910,0,12,3104,4579,7,31,0,1,G
6039,36,2907,0,24,890,2915,9,90,1,0,G
6041,21,2402,1,39,893,2281,12,25,0,1,G
6043,24,2307,1,43,556,1186,7,11,0,0,G
6044,36,2805,0,30,1005,9493,10,50,0,1,G
6045,24,2403,0,18,141,2460,10,38,0,1,G
6047,24,4907,0,15,574,1219,3,21,0,1,G
6048,24,3003,0,15,4306,2959,4,59,1,1,G
6050,36,3206,4,23,120,2258,4,32,0,0,G
6053,60,5200,0,32,183,1758,9,19,0,1,G
6054,48,4906,0,43,542,3329,9,49,0,1,G
6056,48,5505,0,65,2968,7100,10,51,0,1,G
6058,12,2509,2,21,959,2677,3,33,0,1,G
6059,9,3407,5,3,1032,152,9,21,0,0,G
6061,60,4301,5,8,4763,361,6,23,1,0,B
6069,12,4608,0,17,286,2189,14,32,0,1,G
6076,60,2402,0,22,240,3133,4,32,0,1,G
6077,24,2503,2,24,580,2158,2,23,0,0,G
6078,6,3600,6,28,3,1936,3,24,0,0,G
6079,120,4007,0,92,2504,7995,8,120,0,1,G
6080,60,4809,5,45,491,3546,10,25,1,1,G
6082,42,6002,0,40,467,4555,10,50,0,0,G
6083,36,4305,1,28,188,1718,11,20,0,1,G
6084,48,3210,0,32,484,3708,2,106,1,1,G
6085,60,4101,0,18,3180,2403,6,38,0,1,G
6086,6,4704,0,38,322,2335,9,31,0,1,G
6090,24,5806,5,17,259,2000,10,30,0,1,G
6097,12,4508,0,49,1810,2880,15,30,0,1,G
6103,12,5904,1,34,362,5178,8,69,0,1,G
6109,12,2911,2,10,400,2639,11,39,0,1,G
6117,36,4407,0,1,53569,3372,16,176,0,1,G
6118,72,3111,5,27,1296,2001,6,28,0,0,G
6119,42,4801,2,24,3585,3332,9,49,0,1,G
6120,18,3003,1,28,732,3769,7,39,0,1,G
6121,60,5701,0,13,131,3242,10,55,0,1,G
6123,24,5604,0,16,882,2624,0,31,0,1,G
6124,12,3604,2,49,855,4210,12,40,0,1,G
6126,12,3710,0,4,0,3000,9,30,0,1,G
6127,36,3703,0,0,0,0,9,39,0,1,G
6128,48,6011,0,28,1330,3749,10,27,0,1,G
6131,36,4701,6,21,386,1779,14,24,0,1,G
6132,36,3807,2,38,1052,4300,3,43,0,1,G
6133,24,5008,0,29,778,3204,10,37,0,1,G
6134,48,3707,0,3,1665,8750,9,61,1,1,G
6137,60,3203,0,72,2422,4404,11,38,1,1,G
6138,120,5209,3,30,230,4425,12,44,0,0,G
6139,84,5100,0,48,1472,5420,10,65,1,1,G
6140,24,4501,1,8,531,4981,13,58,0,1,G
6143,24,3607,2,1,22587,10109,15,66,1,1,G
6148,3,4502,3,54,231,4257,9,25,0,1,G
6149,36,4304,1,24,3974,12448,20,40,0,1,G
6151,24,2710,2,39,400,3248,9,34,0,1,G
6152,84,3203,2,24,16,3050,13,38,1,1,G
6153,60,5911,5,43,1345,4201,10,59,1,1,G
6154,48,4401,0,15,368,1605,20,52,0,1,G
6156,24,2804,1,20,667,2755,8,23,0,1,G
6161,60,4809,1,20,1601,2653,17,36,1,0,G
6162,48,2911,2,18,253,2431,4,37,0,1,G
6165,60,5701,0,0,0,0,14,40,0,1,G
6166,60,2701,0,15,123,2843,2,28,0,0,G
6167,18,5202,0,35,2916,3459,7,34,0,1,G
6168,48,3706,0,22,787,4108,9,53,1,0,G
6170,60,4611,0,56,3393,6183,7,81,1,1,G
6171,24,4804,0,29,667,2309,14,31,0,1,G
6173,60,4605,5,3,355,525,10,28,0,0,B
6174,48,3810,0,38,6612,9645,7,93,0,1,G
6176,12,3804,0,44,2683,6338,12,85,1,1,G
6177,36,3304,0,27,359,3607,4,54,0,1,G
6180,6,4403,5,6,44,201,17,10,0,0,G
6181,18,2808,3,9,102,1501,7,25,0,1,G
6183,120,4410,6,5,5479,86,10,60,1,0,G
6184,36,6300,0,0,0,0,10,25,0,0,B
6185,120,4709,4,3,4025,280,9,24,0,0,B
6186,36,5111,3,20,1838,1956,15,18,0,0,B
6187,48,6008,0,53,875,2294,1,36,0,1,G
6190,60,6903,5,1,595,55,16,39,0,0,B
6191,30,5408,0,8,20622,6790,7,79,0,1,G
6194,24,2907,0,68,341,3493,9,38,0,1,G
6199,18,4701,5,23,1072,2825,9,37,0,0,B
6200,60,4211,0,50,1067,4004,10,34,0,0,G
6202,48,4600,5,20,1031,3461,12,63,0,1,G
6203,27,3608,0,15,7630,5779,1,106,1,1,G
6204,36,6103,0,54,3850,1838,14,17,0,1,G
6206,60,5806,0,35,1468,2421,15,30,0,1,G
6209,30,3407,1,28,1239,3738,11,50,0,1,G
6210,48,3403,0,20,7435,8579,13,24,0,1,G
6211,60,6207,3,3,949,512,10,13,0,0,B
6213,24,4309,0,40,1765,2990,13,48,0,1,G
6214,36,2905,5,6,76,122,10,10,0,0,B
6218,60,4510,3,28,1384,3391,7,31,0,0,G
6219,48,6202,6,25,941,1657,17,15,0,0,G
6220,36,4703,4,21,769,4277,10,14,0,0,B
6222,24,3400,0,26,5935,2404,4,29,0,1,G
6223,60,4208,2,19,1165,3566,6,46,0,1,G
6224,60,3902,0,50,1917,4615,10,34,1,0,G
6225,30,3102,1,45,294,2919,2,38,0,0,G
6229,48,3902,2,44,463,2131,9,29,0,1,G
6230,36,3108,0,20,284,2412,11,36,0,1,G
6234,60,5405,2,39,6359,6822,16,46,0,1,G
6238,24,4109,1,23,1077,2962,9,60,0,0,G
6239,60,5607,0,2,340,68,10,46,0,1,G
6242,30,4510,2,27,1637,8819,16,96,0,0,G
6243,48,2910,1,35,1058,4233,5,42,0,0,G
6246,60,3905,5,26,769,6871,9,93,0,1,G
6248,48,4004,0,43,941,3452,10,44,0,1,G
6249,60,3411,0,36,911,3570,16,62,1,1,G
6251,48,5005,0,41,3586,3774,10,60,0,1,G
6256,60,3711,1,20,2535,883,8,19,0,0,B
6258,24,4106,0,81,2171,12275,9,99,1,1,G
6260,48,3402,0,30,1932,4597,11,85,0,1,G
6261,60,3306,0,35,759,3503,11,70,1,1,G
6262,36,6600,0,11,131,554,10,24,0,0,G
6263,48,3801,4,34,193,4126,10,55,1,0,G
6264,120,3502,0,9,352,804,13,20,0,0,G
6265,24,3311,0,99,1975,6060,5,48,0,0,G
6267,12,2607,5,21,1417,2399,3,38,0,1,G
6270,54,4800,0,36,1181,2922,13,34,0,1,B
6274,12,4201,0,109,31724,3779,16,42,0,1,G
6277,60,3502,4,35,892,5537,5,83,1,1,G
6279,24,2508,0,22,693,4381,4,33,0,1,G
6282,48,3210,1,25,523,1930,4,26,0,1,G
6285,36,3408,0,20,531,4381,10,288,0,1,G
6286,12,2402,4,20,295,2630,9,37,0,1,G
6287,24,2700,1,10,65,1208,9,21,0,1,G
6288,36,5005,5,56,6914,10989,11,34,1,0,G
6289,12,2103,2,36,362,2645,10,42,0,1,G
6290,12,3406,4,9,1723,2974,15,32,1,1,G
6291,24,3303,0,52,827,3187,4,18,0,1,G
6292,60,5211,0,46,247,5614,15,127,0,1,G
6293,21,6201,0,38,508,1646,0,16,0,1,G
6296,60,4501,4,42,16670,11662,6,54,1,0,B
6297,30,6106,0,30,1428,2131,10,9,0,1,G
6298,60,4411,6,4,12052,200,10,0,0,0,B
6299,48,4603,0,35,1676,3090,10,50,0,1,G
6301,60,3400,0,53,2734,6606,9,63,0,1,G
6304,60,4605,0,67,1609,8251,14,56,1,1,G
6305,60,3611,0,19,2133,2234,7,112,1,1,G
6310,36,4108,0,32,503,2050,4,12,0,1,G
6312,72,6802,0,0,0,0,0,53,1,1,G
6314,48,2809,3,26,264,2508,10,41,0,0,G
6318,36,2700,1,45,1002,2830,12,33,0,1,G
6323,36,5007,1,31,218,3169,17,36,0,0,G
6333,60,5602,6,48,70,2486,10,30,0,1,G
6336,24,5306,4,88,1094,16289,4,41,1,1,G
6337,36,5404,0,1,8504,7251,9,43,1,0,G
6339,60,4709,0,47,366,4941,10,52,0,0,G
6340,24,3109,0,29,6482,3401,9,3,0,0,B
6342,60,2609,6,35,62,2385,7,65,1,1,G
6345,48,6108,1,35,1102,2046,5,29,0,0,G
6346,36,5300,4,66,340,3787,10,32,0,1,G
6347,36,2511,4,35,291,1699,3,22,0,1,G
6348,36,4311,1,27,295,3131,10,45,0,1,G
6350,36,5300,4,66,340,3787,10,32,0,1,G
6352,42,4000,0,45,12499,8672,11,88,1,1,G
6353,12,7100,0,49,3236,2689,5,26,1,1,G
6361,36,5310,3,22,2880,2995,13,55,0,1,G
6362,48,5309,2,80,4412,19846,15,176,1,1,G
6370,60,5707,2,34,752,4256,18,38,0,1,G
6372,60,3810,0,32,944,3162,8,45,0,1,B
6373,42,2101,0,34,115,2906,1,22,0,1,G
6375,60,5904,2,21,5036,10765,10,75,1,0,B
6376,84,2708,1,6,286,503,6,10,0,0,B
6377,12,4701,0,28,272,2620,16,29,0,1,G
6379,48,3109,0,44,730,3153,12,70,1,1,G
6380,24,3900,0,14,3159,3075,5,43,0,1,G
6381,48,3508,0,14,812,3042,8,75,1,1,G
6382,24,2201,0,37,738,2431,3,25,0,1,G
6386,21,6308,0,17,1377,4506,10,60,0,1,G
6388,48,3510,0,0,0,0,13,33,0,1,G
6393,12,5410,0,18,3645,3184,7,36,0,1,G
6394,48,5007,0,31,4608,2252,6,64,1,1,G
6396,24,3705,0,8,217,1374,0,27,0,1,G
6397,36,2201,6,3,68,29,4,27,0,0,B
6400,12,4409,0,44,2123,4761,3,33,1,1,G
6401,60,4502,0,5,492,1290,8,41,1,0,G
6402,24,4606,1,8,451,893,7,57,0,1,G
6403,60,3806,4,43,248,3315,4,32,0,1,G
6404,48,2711,0,70,2575,5776,3,23,0,1,G
6406,36,4411,0,33,578,4220,9,51,0,1,G
6409,60,4709,0,23,1564,2083,10,27,0,1,G
6410,12,5102,5,5,38,33,22,32,0,1,G
6416,36,4904,0,37,13,2921,18,109,1,1,G
6420,36,2903,2,45,781,3171,2,38,0,0,G
6433,48,4311,4,33,715,3647,13,43,0,0,G
6434,18,3409,3,74,654,4011,10,39,0,0,G
6437,24,4205,0,42,1956,2783,16,35,0,0,G
6444,12,7305,0,16,3421,1090,10,8,0,1,G
6445,12,6211,2,23,207,3283,15,51,0,1,G
6455,12,2708,1,24,197,1044,1,21,0,1,G
6456,18,4103,0,9,3896,4166,5,42,1,1,G
6459,60,5008,0,19,3767,3229,12,42,0,1,G
6460,12,4606,2,53,155,6636,7,96,0,1,G
6464,60,3503,2,46,119,3513,15,22,0,1,G
6466,12,5110,0,15,3373,3900,10,65,0,1,G
6467,24,2907,0,0,0,0,9,42,0,1,G
6468,60,6508,3,5,9193,3642,9,115,0,0,G
6469,36,3008,5,23,395,2677,10,73,1,1,G
6471,60,4709,0,71,709,9567,19,129,0,1,G
6473,60,2509,0,43,1789,2464,2,35,0,1,G
6474,36,3208,0,14,1039,2936,14,32,0,1,G
6475,60,4402,5,28,1088,6565,9,108,1,0,G
6477,48,4502,5,26,585,3489,10,42,0,1,G
6482,24,6005,0,19,3193,1694,6,9,0,1,G
6486,60,5000,0,39,2726,4250,10,62,0,1,G
6493,36,2007,0,30,395,819,4,10,0,1,G
6495,84,2908,0,0,0,0,6,36,0,1,G
6496,42,2509,0,12,79,309,6,10,0,0,G
6501,30,3204,0,51,2431,8173,11,32,0,1,G
6503,36,5702,0,13,6338,2059,4,12,0,1,G
6505,60,3302,0,34,2015,3511,9,47,1,1,G
6507,60,3003,1,46,297,2501,2,55,0,0,G
6508,24,2209,0,27,1746,2504,4,32,0,1,G
6510,48,3900,0,7,379,1883,12,31,0,1,G
6511,48,2902,0,0,0,0,7,88,1,1,G
6512,24,2801,3,29,248,2998,9,34,0,0,G
6514,60,4300,3,31,1947,4924,10,97,0,1,G
6515,30,2708,0,22,241,2181,10,29,0,1,G
6516,48,4305,0,21,2388,2977,18,37,0,1,G
6517,24,4503,0,1,1169,621,2,80,0,1,G
6519,60,4509,0,30,2346,3418,12,38,1,1,G
6523,24,2810,0,31,1299,2890,8,33,0,1,G
6525,60,2700,0,53,1348,2982,4,37,0,0,G
6530,18,3501,0,0,0,0,3,49,0,1,G
6531,60,4208,0,27,2794,3353,11,39,0,1,G
6532,60,4905,0,0,0,0,10,23,0,0,B
6533,36,3902,0,69,466,4103,3,45,0,1,G
6534,36,3710,0,31,1280,4295,3,31,0,1,G
6540,48,4207,0,52,1432,3225,17,45,0,1,G
6542,18,3101,0,35,1832,6956,15,116,1,1,G
6543,24,3609,0,28,1873,2860,10,44,0,1,G
6544,60,5601,0,29,4733,2623,10,50,1,1,G
6545,48,4106,2,24,1146,5784,16,110,0,1,G
6546,18,3403,3,65,1310,5492,8,46,0,1,G
6548,60,4411,0,25,691,2286,11,41,0,0,G
6550,60,3510,2,39,325,2463,5,23,0,0,G
6552,12,4803,2,69,116,5523,9,51,0,1,G
6557,48,3802,0,20,748,3371,5,52,0,1,G
6560,60,2901,0,46,1715,3066,11,43,0,1,G
6562,12,2806,0,13,2716,4320,4,59,1,1,G
6568,60,4203,5,25,1140,4532,10,48,0,1,G
6569,48,5101,0,33,588,2524,10,39,0,1,G
6570,36,3510,1,10,350,523,10,12,0,0,G
6572,24,4000,0,11,6282,1037,17,24,0,0,G
6575,48,3705,0,82,204,5862,6,69,0,1,G
6577,84,3706,0,36,3542,15780,8,50,0,1,G
6578,60,3804,0,3,3157,1313,14,13,0,0,G
6579,60,3902,0,28,11677,3651,14,28,0,1,G
6580,36,6603,0,29,1734,4153,10,28,0,1,G
6581,24,2800,0,24,1590,3048,10,30,0,1,G
6583,60,6401,3,8,1765,440,10,57,1,0,B
6584,48,3400,0,31,2604,3124,6,44,0,1,G
6585,12,3105,2,30,528,1723,10,23,0,1,G
6586,60,2409,0,28,621,2362,8,26,0,1,G
6587,36,5301,0,36,103,3264,10,80,0,0,G
6590,42,4304,6,15,936,1700,14,21,0,0,B
6591,36,3011,0,26,625,2106,10,29,0,1,G
6593,60,3601,4,18,510,2598,8,37,0,1,G
6600,9,4601,0,37,703,6092,7,25,0,1,G
6602,36,4209,4,43,548,3959,10,44,0,1,G
6604,12,3805,0,21,2176,3825,9,38,0,1,G
6607,24,3107,1,32,1051,4039,9,48,0,1,G
6608,36,5411,6,40,550,2270,6,30,0,1,G
6609,36,3909,4,26,778,2114,11,30,0,1,G
6610,36,2600,0,11,387,1825,2,40,0,0,B
6611,120,3500,0,14,4176,3557,6,63,1,1,G
6612,120,3901,3,42,1672,8963,10,94,1,1,G
6613,24,3904,3,35,2403,3975,17,99,1,0,G
6617,120,3611,5,28,510,2308,10,33,0,1,G
6618,72,3700,2,19,76,3183,7,72,1,0,B
6622,24,2000,0,10,1140,811,10,18,0,1,G
6626,30,2807,6,29,63,1893,6,25,0,1,G
6627,60,3409,0,64,1298,5189,4,78,1,1,G
6631,84,5700,3,27,1826,2250,6,48,1,1,G
6632,120,3700,4,28,558,2363,10,33,0,1,G
6635,36,4010,0,3,177,420,12,60,1,1,G
6637,36,6204,0,83,1468,4686,6,60,1,1,G
6641,12,5200,0,71,1362,7140,17,72,0,1,G
6642,120,3306,0,11,5403,4937,5,40,1,0,B
6643,48,2901,0,34,325,2205,5,43,0,1,G
6645,36,3202,0,32,6053,3090,10,40,0,1,G
6646,36,4001,0,24,109,1895,17,26,1,1,G
6648,36,3607,0,25,1036,3201,9,30,0,1,G
6649,24,2709,4,19,105,2337,9,35,0,1,G
6650,60,2903,3,33,269,3773,6,37,0,1,G
6654,84,3502,0,0,0,0,5,105,0,1,G
6655,60,2706,2,29,48,1106,13,38,0,1,G
6656,18,3106,6,32,170,2974,16,42,0,1,G
6657,24,4007,5,11,680,6297,10,89,0,1,G
6658,42,6105,0,2,216,300,31,21,0,1,G
6660,54,3510,1,31,437,2794,12,38,0,1,G
6661,12,3911,1,22,25,1848,9,24,0,1,G
6662,24,3702,3,11,851,671,2,40,0,0,B
6664,6,6109,0,15,7032,4631,8,52,0,1,G
6666,60,3304,0,18,1064,2595,8,45,0,1,G
6667,48,4100,6,14,816,4219,10,86,0,1,G
6671,120,4403,3,7,5,88,4,24,0,0,G
6673,60,3304,3,34,236,4344,10,36,0,0,G
6676,48,3704,0,40,31,4649,6,40,0,1,G
6678,96,5011,3,9,4,792,9,13,0,0,G
6681,36,4204,0,38,1168,5384,11,60,0,1,G
6686,12,4610,0,38,874,3101,4,48,0,1,G
6687,24,2500,2,17,1076,1537,4,21,0,0,G
6688,48,4309,0,61,1299,2516,6,33,0,1,G
6689,12,4810,0,17,289,4935,10,84,1,1,G
6690,24,5004,0,22,639,2468,17,38,0,0,G
6691,36,5000,0,15,1350,3795,14,60,0,1,G
6692,36,4305,0,35,3205,11821,10,107,0,1,G
6694,36,4908,4,10,226,2657,10,30,0,1,G
6695,60,3711,0,25,207,3081,12,42,0,1,G
6697,60,5804,5,22,790,1746,18,10,0,1,G
6700,36,5601,0,3,1652,600,10,57,0,1,G
6701,36,3800,0,16,1800,4169,17,67,0,1,G
6704,30,3702,6,44,45,2908,16,35,0,0,G
6705,18,6802,0,0,0,0,13,6,0,1,G
6709,48,4903,0,50,1808,4490,11,63,0,1,G
6714,12,4805,0,29,1497,3340,5,30,0,1,G
6715,24,2505,0,28,5687,2520,9,38,0,1,G
6716,60,3804,0,2,267,366,9,24,0,0,B
6717,30,5500,0,37,1592,2615,10,35,0,1,G
6718,48,5703,2,18,544,1285,10,69,1,1,G
6721,36,4607,0,20,7253,18773,16,62,0,1,G
6724,60,4806,4,28,520,3014,10,51,0,1,G
6727,120,2809,0,19,524,2226,12,64,1,1,G
6731,84,5306,0,33,10307,11931,7,25,1,1,G
6733,48,3209,0,10,832,1357,11,22,0,0,G
6735,12,6109,5,46,399,2399,10,30,0,1,G
6736,48,3710,1,24,807,2460,11,24,0,1,G
6739,36,4310,4,36,2885,3969,12,34,0,0,B
6741,48,5002,0,45,75,5409,17,55,0,0,G
6742,18,2601,0,57,1126,3235,0,50,1,1,G
6743,24,3008,6,7,76,318,10,16,0,0,G
6745,84,2704,0,1,8007,8000,14,30,0,1,B
6747,18,4903,4,53,756,4038,5,65,1,0,G
6748,120,5710,0,46,6199,7803,10,39,0,1,G
6749,48,4508,0,2,7785,14168,10,36,0,1,G
6752,33,5007,3,48,1704,6684,17,18,1,0,B
6753,24,4601,3,28,1934,2000,12,41,1,0,G
6758,12,5306,0,49,55779,30473,11,16,1,1,G
6759,36,3110,0,32,6053,3090,4,35,0,1,G
6760,24,4105,5,39,713,3416,3,45,0,1,G
6761,36,3902,2,13,659,1356,9,15,0,1,G
6762,24,4306,3,27,382,3493,10,55,0,0,G
6763,60,4008,4,51,1426,6212,7,82,1,1,G
6770,48,4205,0,46,466,3434,18,83,0,1,G
6771,60,5600,0,41,3051,3244,10,51,1,1,G
6772,12,2200,1,31,215,2167,3,33,0,1,G
6773,24,5010,0,31,1044,3269,10,35,0,0,G
6775,18,5202,0,30,1169,2973,10,40,0,1,G
6776,60,4602,1,49,397,6030,10,44,0,1,G
6778,48,2809,0,50,207,5045,11,44,0,1,G
6779,60,3505,0,43,2492,6943,10,87,0,1,G
6780,12,5500,0,31,14776,5123,10,26,0,1,G
6781,60,5407,3,39,251,5274,10,49,1,0,G
6787,60,3306,2,39,33,2635,7,31,0,0,G
6790,48,3705,6,23,6,1071,17,28,0,1,B
6791,12,5104,6,20,102,2561,1,34,0,1,G
6793,24,5506,0,16,35331,1650,10,0,0,1,G
6796,12,4808,0,9,838,3710,16,56,0,1,G
6798,60,6111,0,53,14,5466,10,47,0,1,G
6799,24,5710,1,10,508,1002,10,25,1,1,G
6800,48,4103,0,11,382,1145,10,22,0,1,G
6801,60,5807,0,30,2421,3596,10,80,1,1,G
6804,24,3704,1,8,2339,6770,10,30,1,1,G
6806,24,4004,1,54,281,3057,9,35,1,1,G
6809,60,3504,0,31,178,1929,10,37,1,1,G
6811,60,5801,6,68,638,4395,1,53,0,1,G
6812,36,5101,0,12,709,1777,10,23,0,1,G
6813,36,3511,0,38,51,3493,9,30,0,1,B
6814,24,2907,0,30,905,3768,15,27,0,0,G
6815,48,3901,0,19,1030,3150,6,63,0,1,G
6818,60,4809,0,15,202,3302,11,45,0,1,G
6821,60,3801,0,21,642,5457,13,48,0,1,G
6824,60,4403,6,15,32,872,3,9,0,0,B
6825,24,3800,2,21,373,1250,9,56,0,1,G
6828,60,3605,5,42,472,2305,3,47,0,0,G
6831,30,3505,6,44,500,3843,14,39,0,0,G
6832,15,3005,0,41,464,2794,6,43,0,1,G
6833,60,3200,0,46,134,2195,10,29,0,0,G
6835,12,5009,0,8,1106,1401,10,9,0,0,G
6836,24,2509,1,61,2247,2785,4,28,0,1,G
6839,30,2709,0,56,352,2984,10,44,0,1,G
6842,60,4808,0,25,2689,4594,16,54,0,1,G
6849,36,3809,2,15,132,3677,12,60,0,1,G
6853,18,2806,0,43,765,3257,12,44,0,1,G
6856,36,6303,0,21,1586,1093,18,23,0,1,G
6859,60,4309,1,81,1363,9622,18,39,0,1,G
6862,24,5609,0,21,502,2759,9,28,0,1,G
6863,15,3404,1,50,341,2925,15,32,0,1,G
6867,60,2308,4,44,367,1382,7,12,0,0,B
6868,24,6203,4,10,134,1455,14,27,0,0,G
6870,60,4900,0,14,453,2780,12,33,0,1,B
6871,36,5501,0,27,184,3128,11,60,1,1,G
6873,12,4210,0,22,955,2371,17,22,0,1,B
6874,36,2804,0,19,495,1896,3,28,0,1,G
6875,24,5900,3,33,834,2972,15,42,0,1,G
6876,120,3700,0,80,274,3597,12,42,1,0,B
6877,48,3809,0,0,548,0,5,20,0,1,G
6879,120,3110,6,5,6310,169,9,23,1,0,G
6880,36,2909,0,43,13523,2094,4,46,1,1,G
6881,60,3710,0,0,0,0,9,52,0,1,G
6883,12,5200,0,0,497,0,5,42,0,1,G
6885,60,5808,1,56,193,5250,17,33,0,1,G
6888,15,3804,2,18,783,2041,15,31,0,0,G
6894,24,3001,0,17,792,2929,1,29,0,1,G
6897,36,6205,6,2,1931,81,13,19,0,0,G
6898,24,2800,0,32,657,4140,5,50,1,1,G
6899,36,3502,3,33,83,3294,6,44,0,1,G
6900,60,5805,0,0,0,0,12,36,0,1,B
6901,15,4202,3,31,1008,1919,9,32,1,0,G
6903,48,3302,0,35,2514,4429,13,54,0,1,G
6906,72,5207,6,12,2001,1303,9,26,0,0,B
6907,60,5502,1,32,536,2669,5,16,1,0,G
6908,9,4605,0,25,702,2351,9,30,1,0,G
6909,60,3308,0,20,341,1145,11,11,0,0,B
6912,60,3805,5,6,12761,238,15,23,0,0,B
6913,36,2902,0,30,2772,2866,5,44,0,1,G
6914,60,4101,5,38,352,3604,18,43,0,0,G
6915,60,5308,0,6,337,927,18,51,1,1,G
6917,60,4009,6,14,265,2855,18,48,1,0,G
6923,24,3909,2,66,375,4844,14,67,1,1,G
6924,120,3408,5,54,213,5612,2,76,1,0,B
6928,36,5808,6,75,303,3055,9,12,0,0,B
6929,36,3905,0,31,983,4424,10,55,1,1,G
6932,12,2800,0,20,2954,2468,9,33,0,1,G
6933,60,3405,0,0,0,0,6,55,1,0,G
6935,36,2801,0,20,1992,2219,5,24,0,1,G
6942,36,5502,0,59,2994,4718,15,27,0,1,G
6943,24,4210,1,28,2518,3324,10,31,0,0,G
6946,48,5907,0,4,3409,55,18,10,0,1,G
6947,24,5210,0,10,21308,2024,17,26,0,1,G
6949,15,4108,0,6,567,303,12,20,0,1,G
